"V1" "V2" "V3"
"102" "DendroRef_97_3614" "Eukaryota" "Streptophyta"
"103" "DendroRef_97_3634" "Eukaryota" "Streptophyta"
"104" "DendroRef_97_3676" "Eukaryota" "Chordata"
"105" "DendroRef_97_3757" "Eukaryota" "Chordata"
"106" "DendroRef_97_3766" "Eukaryota" "Arthropoda"
"107" "DendroRef_97_3835" "Eukaryota" "Arthropoda"
"108" "DendroRef_97_3839" "Eukaryota" "Arthropoda"
"109" "DendroRef_97_3868" "Eukaryota" "Streptophyta"
"110" "DendroRef_97_3955" "Eukaryota" "Arthropoda"
"111" "DendroRef_97_4108" "Eukaryota" "Arthropoda"
"112" "DendroRef_97_4164" "Eukaryota" "Arthropoda"
"113" "DendroRef_97_4184" "Eukaryota" "Arthropoda"
"114" "DendroRef_97_4257" "Eukaryota" "Arthropoda"
"115" "DendroRef_97_4312" "Eukaryota" "Arthropoda"
"116" "DendroRef_97_4338" "Eukaryota" "Nematoda"
"117" "DendroRef_97_4347" "Eukaryota" "Arthropoda"
"118" "DendroRef_97_4381" "Eukaryota" "Arthropoda"
"119" "DendroRef_97_4394" "Eukaryota" "Streptophyta"
"120" "DendroRef_97_4406" "Eukaryota" "Chordata"
"121" "DendroRef_97_4419" "Eukaryota" "Arthropoda"
"122" "DendroRef_97_4451" "Eukaryota" "Arthropoda"
"123" "DendroRef_97_4464" "Eukaryota" "Chordata"
"124" "DendroRef_97_4482" "Eukaryota" "Chordata"
"125" "DendroRef_97_4521" "Eukaryota" "Chordata"
"126" "DendroRef_97_4591" "Eukaryota" "Arthropoda"
"127" "DendroRef_97_4596" "Eukaryota" "Arthropoda"
"128" "DendroRef_97_4605" "Eukaryota" "Arthropoda"
"129" "DendroRef_97_4606" "Eukaryota" "Chordata"
"130" "DendroRef_97_4653" "Eukaryota" "Arthropoda"
"131" "DendroRef_97_4660" "Eukaryota" "Platyhelminthes"
"132" "DendroRef_97_4673" "Eukaryota" "Ascomycota"
"133" "DendroRef_97_4725" "Eukaryota" "no phylum"
"134" "DendroRef_97_4750" "Eukaryota" "Arthropoda"
"135" "DendroRef_97_4775" "Eukaryota" "Platyhelminthes"
"136" "DendroRef_97_4777" "Eukaryota" "Nematoda"
"137" "DendroRef_97_4786" "Eukaryota" "Arthropoda"
"138" "DendroRef_97_4873" "Eukaryota" "Streptophyta"
"139" "DendroRef_97_4884" "Eukaryota" "Arthropoda"
"140" "DendroRef_97_4908" "Eukaryota" "Arthropoda"
"141" "DendroRef_97_4966" "Eukaryota" "Chordata"
"142" "DendroRef_97_5041" "Eukaryota" "Streptophyta"
"143" "DendroRef_97_5095" "Eukaryota" "Arthropoda"
"144" "DendroRef_97_5109" "Bacteria" "Proteobacteria"
"145" "DendroRef_97_5118" "Eukaryota" "Chordata"
"146" "DendroRef_97_5134" "Eukaryota" "Arthropoda"
"147" "DendroRef_97_5145" "Eukaryota" "Arthropoda"
"148" "DendroRef_97_5170" "Eukaryota" "Arthropoda"
"149" "DendroRef_97_5173" "Eukaryota" "Arthropoda"
"150" "DendroRef_97_5206" "Eukaryota" "Arthropoda"
"151" "DendroRef_97_5269" "Eukaryota" "Arthropoda"
