"V1" "V2" "V3"
"97" "DendroDenovo_97_868" "Eukaryota" "Arthropoda"
"98" "DendroDenovo_97_869" "Eukaryota" "Arthropoda"
"99" "DendroDenovo_97_884" "Eukaryota" "Arthropoda"
"100" "DendroDenovo_97_885" "Eukaryota" "Arthropoda"
"101" "DendroDenovo_97_889" "Eukaryota" "Arthropoda"
"102" "DendroDenovo_97_893" "Eukaryota" "Arthropoda"
"103" "DendroDenovo_97_900" "Eukaryota" "Arthropoda"
"104" "DendroDenovo_97_912" "Eukaryota" "Arthropoda"
"105" "DendroDenovo_97_916" "Eukaryota" "Arthropoda"
"106" "DendroDenovo_97_963" "Eukaryota" "Arthropoda"
"107" "DendroDenovo_97_970" "Eukaryota" "Arthropoda"
"108" "DendroDenovo_97_987" "Eukaryota" "Arthropoda"
"109" "DendroDenovo_97_988" "Eukaryota" "Arthropoda"
"110" "DendroDenovo_97_1010" "Eukaryota" "Arthropoda"
"111" "DendroDenovo_97_1019" "Bacteria" "Proteobacteria"
"112" "DendroDenovo_97_1023" "Eukaryota" "Arthropoda"
"113" "DendroDenovo_97_1028" "Eukaryota" "Arthropoda"
"114" "DendroDenovo_97_1031" "Eukaryota" "Arthropoda"
"115" "DendroDenovo_97_1042" "Eukaryota" "Arthropoda"
"116" "DendroDenovo_97_1047" "Eukaryota" "Arthropoda"
"117" "DendroDenovo_97_1050" "Eukaryota" "Arthropoda"
"118" "DendroDenovo_97_1068" "Eukaryota" "Arthropoda"
"119" "DendroDenovo_97_1074" "Eukaryota" "Arthropoda"
"120" "DendroDenovo_97_1079" "Eukaryota" "Arthropoda"
"121" "DendroDenovo_97_1088" "Eukaryota" "Arthropoda"
"122" "DendroDenovo_97_1089" "Eukaryota" "Streptophyta"
"123" "DendroDenovo_97_1095" "Eukaryota" "Arthropoda"
"124" "DendroDenovo_97_1099" "Eukaryota" "Arthropoda"
"125" "DendroDenovo_97_1100" "Eukaryota" "Arthropoda"
"126" "DendroDenovo_97_1104" "Eukaryota" "Arthropoda"
"127" "DendroDenovo_97_1116" "Eukaryota" "Arthropoda"
"128" "DendroDenovo_97_1122" "Eukaryota" "Arthropoda"
"129" "DendroDenovo_97_1130" "Eukaryota" "multiple"
"130" "DendroDenovo_97_1136" "Eukaryota" "Arthropoda"
"131" "DendroDenovo_97_1147" "Eukaryota" "Arthropoda"
"132" "DendroDenovo_97_1190" "Eukaryota" "Arthropoda"
"133" "DendroDenovo_97_1195" "Eukaryota" "Arthropoda"
"134" "DendroDenovo_97_1205" "Eukaryota" "Arthropoda"
"135" "DendroDenovo_97_1207" "Eukaryota" "Arthropoda"
"136" "DendroDenovo_97_1210" "Eukaryota" "Arthropoda"
"137" "DendroDenovo_97_1217" "Eukaryota" "Arthropoda"
"138" "DendroDenovo_97_1218" "Eukaryota" "Arthropoda"
"139" "DendroDenovo_97_1221" "Eukaryota" "Arthropoda"
"140" "DendroDenovo_97_1226" "Eukaryota" "Arthropoda"
"141" "DendroDenovo_97_1253" "Eukaryota" "Arthropoda"
"142" "DendroDenovo_97_1260" "Eukaryota" "Chordata"
"143" "DendroDenovo_97_1277" "Eukaryota" "Arthropoda"
"144" "DendroDenovo_97_1281" "Eukaryota" "Arthropoda"
"145" "DendroDenovo_97_1284" "Eukaryota" "Arthropoda"
"146" "DendroDenovo_97_1292" "Eukaryota" "Arthropoda"
"147" "DendroDenovo_97_1303" "Eukaryota" "Arthropoda"
"148" "DendroDenovo_97_1305" "Eukaryota" "Arthropoda"
"149" "DendroDenovo_97_1307" "Eukaryota" "Arthropoda"
"150" "DendroDenovo_97_1315" "Eukaryota" "Arthropoda"
"151" "DendroDenovo_97_1317" "Eukaryota" "Arthropoda"
"152" "DendroDenovo_97_1325" "Eukaryota" "Arthropoda"
"153" "DendroDenovo_97_1326" "Eukaryota" "Arthropoda"
"154" "DendroDenovo_97_1336" "Eukaryota" "Arthropoda"
"155" "DendroDenovo_97_1346" "Eukaryota" "Arthropoda"
"156" "DendroDenovo_97_1352" "Eukaryota" "Arthropoda"
"157" "DendroDenovo_97_1372" "Eukaryota" "Arthropoda"
"158" "DendroDenovo_97_1373" "Eukaryota" "Arthropoda"
"159" "DendroDenovo_97_1383" "Eukaryota" "Arthropoda"
"160" "DendroDenovo_97_1391" "Eukaryota" "Arthropoda"
"161" "DendroDenovo_97_1395" "Eukaryota" "Arthropoda"
"162" "DendroDenovo_97_1399" "Eukaryota" "Arthropoda"
"163" "DendroDenovo_97_1400" "Eukaryota" "Arthropoda"
"164" "DendroDenovo_97_1401" "Eukaryota" "Arthropoda"
"165" "DendroDenovo_97_1403" "Eukaryota" "Arthropoda"
"166" "DendroDenovo_97_1405" "Eukaryota" "Arthropoda"
"167" "DendroDenovo_97_1408" "Eukaryota" "Arthropoda"
"168" "DendroDenovo_97_1422" "Eukaryota" "Arthropoda"
"169" "DendroDenovo_97_1431" "Eukaryota" "Arthropoda"
"170" "DendroDenovo_97_1446" "Eukaryota" "Arthropoda"
"171" "DendroDenovo_97_1457" "Eukaryota" "Arthropoda"
"172" "DendroDenovo_97_1477" "Eukaryota" "Arthropoda"
"173" "DendroDenovo_97_1479" "Eukaryota" "Arthropoda"
"174" "DendroDenovo_97_1483" "Eukaryota" "Arthropoda"
"175" "DendroDenovo_97_1488" "Eukaryota" "Arthropoda"
"176" "DendroDenovo_97_1489" "Eukaryota" "Arthropoda"
"177" "DendroDenovo_97_1505" "Eukaryota" "Arthropoda"
"178" "DendroDenovo_97_1512" "Eukaryota" "Arthropoda"
"179" "DendroDenovo_97_1515" "Eukaryota" "Arthropoda"
"180" "DendroDenovo_97_1525" "Eukaryota" "Arthropoda"
"181" "DendroDenovo_97_1534" "Eukaryota" "Streptophyta"
"182" "DendroDenovo_97_1544" "Eukaryota" "Arthropoda"
"183" "DendroDenovo_97_1545" "Eukaryota" "Arthropoda"
"184" "DendroDenovo_97_1552" "Eukaryota" "Arthropoda"
"185" "DendroDenovo_97_1558" "Eukaryota" "Arthropoda"
"186" "DendroDenovo_97_1563" "Eukaryota" "Arthropoda"
"187" "DendroDenovo_97_1569" "Eukaryota" "Arthropoda"
"188" "DendroDenovo_97_1573" "Eukaryota" "Streptophyta"
"189" "DendroDenovo_97_1581" "Eukaryota" "Arthropoda"
"190" "DendroDenovo_97_1582" "Eukaryota" "Arthropoda"
"191" "DendroDenovo_97_1584" "Eukaryota" "Arthropoda"
"192" "DendroDenovo_97_1597" "Eukaryota" "Arthropoda"
"193" "DendroDenovo_97_1602" "Eukaryota" "Arthropoda"
"194" "DendroDenovo_97_1613" "Eukaryota" "Arthropoda"
"195" "DendroDenovo_97_1614" "Eukaryota" "Arthropoda"
"196" "DendroDenovo_97_1625" "Eukaryota" "Arthropoda"
"197" "DendroDenovo_97_1635" "Eukaryota" "Arthropoda"
"198" "DendroDenovo_97_1641" "Eukaryota" "Arthropoda"
"199" "DendroDenovo_97_1650" "Eukaryota" "Arthropoda"
"200" "DendroDenovo_97_1651" "Eukaryota" "Arthropoda"
"201" "DendroDenovo_97_1691" "Eukaryota" "Arthropoda"
"202" "DendroDenovo_97_1702" "Eukaryota" "Arthropoda"
"203" "DendroDenovo_97_1706" "Eukaryota" "Arthropoda"
"204" "DendroDenovo_97_1709" "Eukaryota" "multiple"
"205" "DendroDenovo_97_1710" "Eukaryota" "Arthropoda"
"206" "DendroDenovo_97_1712" "Eukaryota" "Arthropoda"
"207" "DendroDenovo_97_1713" "Eukaryota" "Arthropoda"
"208" "DendroDenovo_97_1726" "Eukaryota" "Arthropoda"
"209" "DendroDenovo_97_1729" "Eukaryota" "Arthropoda"
"210" "DendroDenovo_97_1730" "Eukaryota" "Chordata"
"211" "DendroDenovo_97_1738" "Eukaryota" "Arthropoda"
"212" "DendroDenovo_97_1746" "Eukaryota" "Arthropoda"
"213" "DendroDenovo_97_1753" "Eukaryota" "Arthropoda"
"214" "DendroDenovo_97_1758" "Eukaryota" "Arthropoda"
"215" "DendroDenovo_97_1759" "Eukaryota" "Arthropoda"
"216" "DendroDenovo_97_1765" "Eukaryota" "Arthropoda"
"217" "DendroDenovo_97_1783" "Eukaryota" "Arthropoda"
"218" "DendroDenovo_97_1790" "Eukaryota" "Arthropoda"
"219" "DendroDenovo_97_1808" "Eukaryota" "Arthropoda"
"220" "DendroDenovo_97_1825" "Eukaryota" "Arthropoda"
"221" "DendroDenovo_97_1835" "Eukaryota" "Arthropoda"
"222" "DendroDenovo_97_1837" "Eukaryota" "Arthropoda"
"223" "DendroDenovo_97_1839" "Eukaryota" "Apicomplexa"
"224" "DendroDenovo_97_1845" "Eukaryota" "Arthropoda"
"225" "DendroDenovo_97_1847" "Eukaryota" "Arthropoda"
"226" "DendroDenovo_97_1852" "Eukaryota" "Arthropoda"
"227" "DendroDenovo_97_1853" "Eukaryota" "Arthropoda"
"228" "DendroDenovo_97_1862" "Eukaryota" "Streptophyta"
"229" "DendroDenovo_97_1877" "Eukaryota" "Arthropoda"
"230" "DendroDenovo_97_1879" "Eukaryota" "Arthropoda"
"231" "DendroDenovo_97_1880" "Eukaryota" "Mollusca"
"232" "DendroDenovo_97_1886" "Eukaryota" "Streptophyta"
"233" "DendroDenovo_97_1889" "Eukaryota" "Arthropoda"
"234" "DendroDenovo_97_1909" "Eukaryota" "Arthropoda"
"235" "DendroDenovo_97_1910" "Eukaryota" "Arthropoda"
"236" "DendroDenovo_97_1911" "Eukaryota" "Arthropoda"
"237" "DendroDenovo_97_1915" "Eukaryota" "Arthropoda"
"238" "DendroDenovo_97_1918" "Eukaryota" "Arthropoda"
"239" "DendroDenovo_97_1932" "Viruses" "Negarnaviricota"
"240" "DendroDenovo_97_1942" "Eukaryota" "Arthropoda"
"241" "DendroDenovo_97_1958" "Eukaryota" "Arthropoda"
"242" "DendroDenovo_97_1962" "Eukaryota" "Arthropoda"
"243" "DendroDenovo_97_1965" "Eukaryota" "Arthropoda"
"244" "DendroDenovo_97_1968" "Eukaryota" "Arthropoda"
"245" "DendroDenovo_97_1969" "Eukaryota" "Arthropoda"
"246" "DendroDenovo_97_1970" "Eukaryota" "Arthropoda"
"247" "DendroDenovo_97_1983" "Eukaryota" "Arthropoda"
"248" "DendroDenovo_97_1994" "Eukaryota" "Arthropoda"
"249" "DendroDenovo_97_1995" "Eukaryota" "Arthropoda"
"250" "DendroDenovo_97_2005" "Eukaryota" "Arthropoda"
"251" "DendroDenovo_97_2007" "Eukaryota" "Arthropoda"
"252" "DendroDenovo_97_2024" "Eukaryota" "Arthropoda"
"253" "DendroDenovo_97_2025" "Eukaryota" "Arthropoda"
"254" "DendroDenovo_97_2036" "Eukaryota" "Arthropoda"
"255" "DendroDenovo_97_2038" "Eukaryota" "Arthropoda"
"256" "DendroDenovo_97_2040" "Eukaryota" "Arthropoda"
"257" "DendroDenovo_97_2045" "Eukaryota" "Arthropoda"
"258" "DendroDenovo_97_2060" "Bacteria" "Tenericutes"
"259" "DendroDenovo_97_2066" "Eukaryota" "Arthropoda"
"260" "DendroDenovo_97_2069" "Eukaryota" "multiple"
"261" "DendroDenovo_97_2074" "Eukaryota" "Arthropoda"
"262" "DendroDenovo_97_2089" "Eukaryota" "Arthropoda"
"263" "DendroDenovo_97_2093" "Eukaryota" "Streptophyta"
"264" "DendroDenovo_97_2113" "Eukaryota" "Arthropoda"
"265" "DendroDenovo_97_2126" "Eukaryota" "Arthropoda"
"266" "DendroDenovo_97_2131" "Eukaryota" "Arthropoda"
"267" "DendroDenovo_97_2152" "Eukaryota" "Arthropoda"
"268" "DendroDenovo_97_2156" "Eukaryota" "Arthropoda"
"269" "DendroDenovo_97_2165" "Eukaryota" "Arthropoda"
"270" "DendroDenovo_97_2170" "Eukaryota" "Arthropoda"
"271" "DendroDenovo_97_2175" "Eukaryota" "Chordata"
"272" "DendroDenovo_97_2177" "Eukaryota" "Chordata"
"273" "DendroDenovo_97_2185" "Eukaryota" "Arthropoda"
"274" "DendroDenovo_97_2187" "Eukaryota" "Arthropoda"
"275" "DendroDenovo_97_2197" "Eukaryota" "Arthropoda"
"276" "DendroDenovo_97_2201" "Eukaryota" "Chordata"
"277" "DendroDenovo_97_2207" "Eukaryota" "Arthropoda"
"278" "DendroDenovo_97_2210" "Eukaryota" "Arthropoda"
"279" "DendroDenovo_97_2211" "Eukaryota" "Arthropoda"
"280" "DendroDenovo_97_2226" "Eukaryota" "Arthropoda"
"281" "DendroDenovo_97_2227" "Eukaryota" "Arthropoda"
"282" "DendroDenovo_97_2228" "Eukaryota" "Arthropoda"
"283" "DendroDenovo_97_2233" "Eukaryota" "Arthropoda"
"284" "DendroDenovo_97_2234" "Eukaryota" "Arthropoda"
"285" "DendroDenovo_97_2241" "Eukaryota" "Streptophyta"
"286" "DendroDenovo_97_2242" "Eukaryota" "Arthropoda"
"287" "DendroDenovo_97_2253" "Eukaryota" "Arthropoda"
